,gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,playNullifiedByPenalty,absoluteYardlineNumber,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,expectedPoints,offenseFormation,receiverAlignment,playClockAtSnap,passResult,passLength,targetX,targetY,playAction,dropbackType,dropbackDistance,passLocationType,timeToThrow,timeInTackleBox,timeToSack,passTippedAtLine,unblockedPressure,qbSpike,qbKneel,qbSneak,rushLocationType,penaltyYards,prePenaltyYardsGained,yardsGained,homeTeamWinProbabilityAdded,visitorTeamWinProbilityAdded,expectedPointsAdded,isDropback,pff_runConceptPrimary,pff_runConceptSecondary,pff_runPassOption,pff_passCoverage,pff_manZone,swing_play
282,2022091804,576,"(4:26) T.Brady FUMBLES (Aborted) at NO 26, touched at NO 25, RECOVERED by NO-D.Davis at NO 25.",1,3,1,TB,NO,NO,26,04:26,3,0,N,84,0.39969601854682,0.60030398145318,4.0773439637851,SINGLEBACK,2x2,5.0,,,,,False,,,,,,,,,,0,False,OUTSIDE_RIGHT,,0,1,0.171432159841061,-0.171432159841061,-5.37969494867139,False,OUTSIDE ZONE,,0,Cover-1,Man,1
308,2022101606,3681,"(1:40) (Shotgun) L.Jackson sacked at BLT 17 for -8 yards (K.Thibodeaux). FUMBLES (K.Thibodeaux), touched at BLT 17, RECOVERED by NYG-L.Williams at BLT 13.",4,2,10,BAL,NYG,BAL,25,01:40,24,20,N,85,0.790038112550974,0.209961887449026,1.02818907413166,SHOTGUN,2x2,10.0,S,,,,False,TRADITIONAL,3.16000008583069,OUTSIDE_LEFT,,,3.903,False,False,False,0,,,,-8,-12,0.20303697604686,-0.20303697604686,-6.19017255585641,True,,,0,Cover-1,Man,1
321,2022101300,610,(2:27) (Shotgun) J.Fields pass short middle intended for C.Kmet INTERCEPTED by J.Allen (E.Obada) at WAS 5. J.Allen to WAS 6 for 1 yard (T.Jenkins).,1,2,5,CHI,WAS,WAS,5,02:27,0,0,N,15,0.575721018016338,0.424278981983662,5.43084870732855,SHOTGUN,3x1,7.0,IN,0.0,9.35,24.17,False,TRADITIONAL,2.13000011444092,INSIDE_BOX,2.503,2.50300002098083,,True,False,False,0,,,,0,0,-0.128664087504148,0.128664087504148,-5.42426412354689,True,,,0,Cover-0,Man,1
344,2022102301,2188,"(6:24) L.Fournette right end to CAR 25 for no gain (C.Henderson, C.Littleton). CAR-C.Henderson was injured during the play. His return is Questionable.",3,4,1,TB,CAR,CAR,25,06:24,7,0,N,85,0.37551961094141,0.62448038905859,3.10477575520054,SINGLEBACK,3x1,6.0,,,,,False,,,,,,,,,,0,False,INSIDE_RIGHT,,0,0,0.185182329267263,-0.185182329267263,-4.47408863436431,False,PULL LEAD,PITCH,0,Cover-1,Man,1
349,2022092505,3225,(9:12) (Shotgun) M.Jones pass deep left intended for D.Parker INTERCEPTED by M.Humphrey at BLT -8. Touchback.,4,3,10,NE,BAL,BAL,10,09:12,26,31,N,20,0.389870926737785,0.610129073262215,3.63065350137185,SHOTGUN,3x1,6.0,IN,10.0,2.76,3.4,False,TRADITIONAL,6.8899998664856,INSIDE_BOX,2.505,2.50500011444092,,False,True,False,0,,,,0,0,-0.181605122983456,0.181605122983456,-4.68348827736918,True,,,0,Cover-0,Man,1
350,2022110604,287,"(10:21) (Shotgun) T.Lawrence FUMBLES (Aborted) at LV 32, RECOVERED by LV-M.Crosby at LV 29.",1,3,5,JAX,LV,LV,26,10:21,0,0,N,84,0.510494738817215,0.489505261182785,3.57704378128983,EMPTY,3x2,10.0,,,,,False,,,,,,,,,,0,False,OUTSIDE_LEFT,,-3,-3,-0.100965607911348,0.100965607911348,-5.09505969961174,False,PULL LEAD,PITCH,0,Cover-1,Man,1
402,2022110607,3405,(6:59) (Shotgun) T.Heinicke sacked at WAS 20 for -9 yards (D.Hunter).,4,3,6,WAS,MIN,WAS,29,06:59,17,17,N,81,0.463397473096848,0.536602526903152,0.324125077342615,SHOTGUN,2x2,7.0,S,,,,False,TRADITIONAL,3.98000001907349,OUTSIDE_LEFT,,3.59999990463257,3.897,False,False,False,0,,,,-9,-9,-0.12671022862196,0.12671022862196,-2.245581793366,True,,,0,Cover 6-Left,Zone,1
415,2022091800,3547,"(5:27) (Shotgun) T.Tagovailoa pass deep left to T.Hill for 60 yards, TOUCHDOWN.",4,3,6,MIA,BAL,MIA,40,05:27,35,28,N,50,0.843011308461428,0.156988691538572,0.673874234315008,SHOTGUN,3x1,3.0,C,40.0,87.78,43.46,False,TRADITIONAL,3.80999994277954,INSIDE_BOX,2.403,2.40300011634827,,False,False,False,0,,,,60,60,-0.255992706865072,0.255992706865072,6.32612576568499,True,,,0,Cover-2,Zone,1
427,2022092502,709,"(2:45) (Shotgun) M.Ryan sacked at IND 42 for -9 yards (L.Sneed). FUMBLES (L.Sneed) [L.Sneed], touched at IND 41, recovered by IND-J.Taylor at IND 35.",1,4,1,IND,KC,KC,49,02:45,7,0,N,61,0.660554565489292,0.339445434510708,0.963847974780947,SHOTGUN,2x2,5.0,S,,,,True,TRADITIONAL,3.16000008583069,INSIDE_BOX,,,2.572,False,True,False,0,,,,-16,-16,-0.155826464295387,0.155826464295387,-4.8834083074471,True,UNDEFINED,,0,Cover-0,Man,1
460,2022091102,268,"(10:24) (Shotgun) D.Samuel left end to CHI 12 for 4 yards (J.Johnson). FUMBLES (J.Johnson), RECOVERED by CHI-J.Brisker at CHI 12.",1,1,10,SF,CHI,CHI,16,10:24,0,0,N,94,0.313191946595907,0.686808053404093,5.0540551742306,SHOTGUN,2x2,4.0,,,,,False,,,,,,,,,,0,False,OUTSIDE_LEFT,,4,4,0.108028024435043,-0.108028024435043,-5.46467830881011,False,COUNTER,INVERTED;READ OPTION,0,Cover-2,Zone,1
471,2022100904,3001,(12:54) K.Cousins pass short right intended for A.Thielen INTERCEPTED by K.Vildor at CHI 30. K.Vildor to CHI 48 for 18 yards (E.Ingram).,4,1,10,MIN,CHI,CHI,42,12:54,21,19,N,68,0.744520299136639,0.255479700863361,3.14001572690904,I_FORM,2x1,9.0,IN,12.0,80.02,17.27,True,DESIGNED_ROLLOUT_RIGHT,5.44000005722046,OUTSIDE_RIGHT,3.437,3.40000009536743,,False,False,False,0,,,,0,0,-0.190478138625622,0.190478138625622,-5.72387533506844,True,OUTSIDE ZONE,,0,Cover-2,Zone,1
481,2022091103,3505,(2:06) (Shotgun) J.Burrow pass incomplete short left to J.Chase.,4,2,3,CIN,PIT,PIT,3,02:06,14,20,N,107,0.505333255976439,0.494666744023561,5.71115073608235,SHOTGUN,3x1,14.0,I,3.0,113.36,52.27,False,TRADITIONAL,1.27999997138977,INSIDE_BOX,1.6,1.60000002384186,,False,False,False,0,,,,0,0,-0.137696389108896,0.137696389108896,-0.991083810979035,True,,,0,Cover-0,Man,1
513,2022091105,3750,"(2:00) (Shotgun) M.Ryan pass short right to M.Pittman for 15 yards, TOUCHDOWN.",4,1,10,IND,HOU,HOU,15,02:00,20,13,N,95,0.714303150773048,0.285696849226952,4.79218163510086,SHOTGUN,2x2,15.0,C,7.0,101.1,8.03,True,TRADITIONAL,0.439999997615814,INSIDE_BOX,1.968,1.96800005435944,,False,False,False,0,,,,15,15,-0.145049914717674,0.145049914717674,2.20781836489914,True,INSIDE ZONE,,1,Cover-3,Zone,1
520,2022092511,1585,(4:39) (Shotgun) G.Smith pass deep left to M.Goodwin pushed ob at ATL 18 for 23 yards (C.Hayward).,2,4,2,SEA,ATL,ATL,41,04:39,10,17,N,51,0.309261839836836,0.690738160163164,0.907506411196664,EMPTY,4x1,9.0,C,18.0,33.4,8.99,False,TRADITIONAL,4.8600001335144,INSIDE_BOX,2.836,2.83599996566772,,False,False,False,0,,,,23,23,0.105545476078987,-0.105545476078987,3.81906186923152,True,,,0,Cover-1,Man,1
523,2022092511,3382,"(5:16) (Shotgun) M.Mariota to SEA 37 for -3 yards. FUMBLES, RECOVERED by SEA-U.Nwosu at SEA 37.",4,2,7,ATL,SEA,SEA,34,05:16,23,27,N,44,0.126768913120031,0.873231086879969,3.59539659554139,SHOTGUN,2x2,7.0,,,,,False,UNKNOWN,,,,,,,,,0,False,OUTSIDE_RIGHT,,-3,-3,0.184733148664236,-0.184733148664236,-5.11171663901769,False,INSIDE ZONE,READ OPTION,1,Cover-3 Seam,Zone,1
582,2022103009,2259,"(3:35) J.Taylor up the middle to WAS 20 for 6 yards (D.Forrest). FUMBLES (D.Forrest), RECOVERED by WAS-C.Toohill at WAS 15.",3,2,2,IND,WAS,WAS,26,03:35,6,7,N,36,0.646888114511967,0.353111885488033,4.45305453520268,SINGLEBACK,3x1,16.0,,,,,False,UNKNOWN,,,,,,,,,0,False,INSIDE_LEFT,,6,11,-0.159459728747606,0.159459728747606,-4.95753287244588,False,COUNTER,CROSS LEAD,0,Cover-1,Man,1
585,2022091800,3850,(2:00) (Shotgun) T.Tagovailoa pass short middle to T.Hill to BLT 44 for 21 yards (M.Williams).,4,2,7,MIA,BAL,MIA,35,02:00,38,35,N,45,0.698031418025494,0.301968581974506,1.15121825726237,SHOTGUN,2x2,12.0,C,15.0,58.4,33.39,False,TRADITIONAL,2.28999996185303,INSIDE_BOX,1.735,1.73500001430511,,False,True,False,0,,,,21,21,-0.162178672850132,0.162178672850132,1.74064134096261,True,,,0,Cover-1,Man,1
624,2022092513,3451,(8:16) (Shotgun) R.Wilson pass deep left to K.Hinton to SF 40 for 27 yards (F.Warner).,4,3,10,DEN,SF,DEN,33,08:16,5,10,N,77,0.217453274875879,0.782546725124121,0.294167042942718,SHOTGUN,3x1,5.0,C,27.0,49.04,11.46,False,SCRAMBLE,4.88000011444092,OUTSIDE_LEFT,6.207,5.30000019073486,,False,False,False,0,,,,27,27,0.139258425682783,-0.139258425682783,2.892845883267,True,,,0,Cover 6-Left,Zone,1
649,2022100207,3117,"(8:49) J.Taylor right guard to TEN 23 for 1 yard (J.Schobert). FUMBLES (J.Schobert), RECOVERED by TEN-K.Fulton at TEN 22.",4,3,1,IND,TEN,TEN,24,08:49,17,24,N,86,0.338770151138306,0.661229848861694,4.17227288533468,SINGLEBACK,2x2,2.0,,,,,False,UNKNOWN,,,,,,,,,0,False,INSIDE_RIGHT,,1,2,-0.191695604473352,0.191695604473352,-5.19294894498307,False,MAN,,0,Cover-1,Man,1
665,2022103003,122,(14:09) J.Goff pass deep right to K.Raymond to MIA 21 for 27 yards (J.Holland).,1,2,8,DET,MIA,MIA,48,14:09,0,0,N,62,0.435526907444,0.564473092556,2.46559698344208,SINGLEBACK,3x1,13.0,C,25.0,87.22,16.29,True,TRADITIONAL,7.03000020980835,INSIDE_BOX,3.904,3.90400004386902,,False,False,False,0,,,,27,27,0.100842397660017,-0.100842397660017,2.32703745854087,True,OUTSIDE ZONE,,0,Cover-1,Man,1
667,2022100906,2227,"(14:55) (Shotgun) G.Smith pass short left to D.Metcalf to SEA 31 for 8 yards (J.Evans, P.Werner). FUMBLES (P.Werner), RECOVERED by NO-D.Onyemata at SEA 31. Pass 0, YAC 8 The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field stands.",3,1,10,SEA,NO,SEA,23,14:55,17,19,N,33,0.476655084639788,0.523344915360212,0.991830877494067,SHOTGUN,2x2,7.0,C,6.0,38.75,36.7,False,TRADITIONAL,0.189999997615814,INSIDE_BOX,1.71,1.71000003814697,,False,False,False,0,,,,8,8,0.163265084847808,-0.163265084847808,-4.86012517951895,True,POWER,,0,Cover-3,Zone,1
668,2022101605,4030,(:39) (Shotgun) A.Dalton sacked at CIN 48 for -7 yards (sack split by B.Hill and S.Hubbard).,4,3,10,NO,CIN,CIN,41,00:39,26,30,N,69,0.196667629014701,0.803332370985299,2.19181189045776,SHOTGUN,2x2,7.0,S,,,,False,TRADITIONAL,3.94000005722046,INSIDE_BOX,,,4.015,False,False,False,0,,,,-7,-7,-0.130375549073021,0.130375549073021,-1.7557916805381,True,,,0,Cover-2,Zone,1
676,2022102306,4016,(2:06) (Shotgun) B.Robinson left guard to GB 43 for 1 yard (R.Ford; R.Douglas).,4,1,10,WAS,GB,GB,44,02:06,23,21,N,54,0.832166410982609,0.167833589017391,1.19092209107475,SHOTGUN,2x2,10.0,,,,,False,,,,,,,,,,0,False,INSIDE_LEFT,,1,1,0.129438105970621,-0.129438105970621,-0.436382970947307,False,INSIDE ZONE,READ OPTION,0,Cover-0,Man,1
681,2022110604,3047,"(9:20) (Shotgun) T.Lawrence pass short left to M.Jones pushed ob at JAX 23 for 15 yards (A.Averett). Penalty on LV-A.Averett, Defensive Holding, declined.",4,2,11,JAX,LV,JAX,8,09:20,24,20,N,18,0.65145406499505,0.34854593500495,-0.795628116466105,SHOTGUN,3x1,11.0,C,11.0,28.3,45.99,False,TRADITIONAL,3.33999991416931,INSIDE_BOX,2.669,2.66899991035461,,False,True,False,0,,,0.0,15,15,0.112845338881016,-0.112845338881016,1.95629474311136,True,,,0,Cover-3,Zone,1
687,2022110609,3913,(1:57) (Shotgun) T.Brady pass incomplete short middle to M.Evans (J.Ramsey).,4,4,6,TB,LA,LA,6,01:57,9,13,N,104,0.348993123788387,0.651006876211613,2.91356330708368,SHOTGUN,2x2,16.0,I,6.0,117.64,32.79,False,TRADITIONAL,4.0,INSIDE_BOX,2.67,2.67000007629395,,False,False,False,0,,,,0,0,-0.296274426672608,0.296274426672608,-3.32131220464362,True,,,0,Red Zone,Other,1
728,2022091103,3568,"(1:56) (Shotgun) J.Burrow pass incomplete short left to J.Chase (C.Sutton). PENALTY on CIN-J.Chase, Taunting, 15 yards, enforced between downs.",4,4,2,CIN,PIT,PIT,2,01:56,14,20,N,108,0.260858329137166,0.739141670862834,3.57318829454016,SHOTGUN,3x1,7.0,I,2.0,116.44,50.49,False,TRADITIONAL,3.00999999046326,INSIDE_BOX,2.769,2.76900005340576,,False,False,False,0,,,-15.0,0,0,-0.257380796837,0.257380796837,-4.22635038918816,True,,,0,Cover-0,Man,1
786,2022102302,141,"(13:07) (Shotgun) J.Burrow pass deep middle to T.Boyd for 60 yards, TOUCHDOWN.",1,1,10,CIN,ATL,CIN,40,13:07,0,0,N,70,0.6660997569561,0.3339002430439,2.37148261279799,SHOTGUN,3x1,13.0,C,43.0,29.08,27.57,True,TRADITIONAL,1.54999995231628,INSIDE_BOX,3.303,3.30299997329712,,False,False,False,0,,,,60,60,0.100985545665026,-0.100985545665026,4.62851738720201,True,UNDEFINED,,0,Cover-2,Zone,1
824,2022100600,4703,(3:12) (Shotgun) M.Gordon left guard to IND 5 for 1 yard (D.Buckner; B.Okereke).,5,3,2,DEN,IND,IND,6,03:12,9,12,N,16,0.664300389512283,0.335699610487717,4.40593512583291,SHOTGUN,2x2,9.0,,,,,False,,,,,,,,,,0,False,INSIDE_LEFT,,1,1,-0.123560408241756,0.123560408241756,-1.04491144506028,False,INSIDE ZONE,,1,Red Zone,Other,1
846,2022091107,697,(5:07) (Shotgun) J.Flacco pass short middle intended for L.Cager INTERCEPTED by M.Williams at NYJ 46. M.Williams to NYJ 13 for 33 yards (J.Flacco).,1,1,19,NYJ,BAL,NYJ,32,05:07,0,0,N,78,0.455815427005291,0.544184572994709,1.83901964873075,EMPTY,3x2,17.0,IN,14.0,64.78,22.25,False,TRADITIONAL,2.60999989509583,INSIDE_BOX,2.236,2.23600006103516,,False,False,False,0,,,,0,0,-0.148316230624914,0.148316230624914,-6.76165490481071,True,,,0,Quarters,Zone,1
878,2022100211,2774,"(11:19) M.Cannon reported in as eligible.  D.Harris left tackle for 5 yards, TOUCHDOWN.",4,2,5,NE,GB,GB,5,11:19,17,17,N,15,0.438174933195114,0.561825066804886,4.99487536097877,SINGLEBACK,2x1,14.0,,,,,False,,,,,,,,,,0,False,OUTSIDE_RIGHT,,5,5,-0.121064394712448,0.121064394712448,2.00512463902123,False,OUTSIDE ZONE,,0,Red Zone,Other,1
886,2022092508,961,"(14:12) (Shotgun) C.Wentz sacked at WAS 23 for -6 yards (B.Graham). FUMBLES (B.Graham) [B.Graham], RECOVERED by PHI-J.Hargrave at WAS 24.",2,2,6,WAS,PHI,WAS,29,14:12,0,3,N,39,0.362072702497244,0.637927297502756,0.981125456746668,SHOTGUN,2x2,6.0,S,,,,True,TRADITIONAL,3.99000000953674,OUTSIDE_LEFT,,,4.772,False,False,False,0,,,,-5,-5,-0.105533173307776,0.105533173307776,-5.4015135623049,True,UNDEFINED,,0,Cover-2,Zone,1
1010,2022092505,2441,(6:18) (Shotgun) L.Jackson up the middle pushed ob at NE 6 for 38 yards (D.McCourty).,3,1,10,BAL,NE,NE,44,06:18,20,21,N,54,0.40093595162034,0.59906404837966,3.05746921873651,SHOTGUN,3x1,13.0,,,,,True,DESIGNED_RUN,5.75,,,,,,,,0,False,INSIDE_LEFT,,38,38,-0.10652856528759,0.10652856528759,2.55298541428056,False,POWER,INVERTED;READ OPTION,0,Cover-1,Man,1
1017,2022091101,883,"(:35) (Shotgun) B.Mayfield sacked at CAR 15 for -8 yards (sack split by J.Johnson and R.Harrison). PENALTY on CAR, Unsportsmanlike Conduct, 7 yards, enforced at CAR 15.",1,3,7,CAR,CLE,CAR,23,00:35,0,0,N,33,0.542935378849506,0.457064621150494,-0.171741412486881,SHOTGUN,3x1,7.0,S,,,,False,TRADITIONAL,3.52999997138977,INSIDE_BOX,,,4.338,False,False,False,0,,,-7.0,-8,-15,-0.104224976152182,0.104224976152182,-2.49516378296539,True,,,0,Cover-1,Man,1
1020,2022092504,4168,"(:50) (Shotgun) K.Cousins pass deep right to K.Osborn for 28 yards, TOUCHDOWN [A.McNeill].",4,1,10,MIN,DET,DET,28,00:50,21,24,N,82,0.475384116172791,0.524615883827209,2.31993396009784,SHOTGUN,3x1,11.0,C,27.0,108.07,9.45,False,TRADITIONAL,4.09999990463257,INSIDE_BOX,3.137,3.13700008392334,,False,False,False,0,,,,28,28,0.471527287038043,-0.471527287038043,4.68006603990216,True,,,0,2-Man,Man,1
1053,2022100202,3050,(15:00) (Shotgun) L.Jackson pass short middle intended for M.Andrews INTERCEPTED by J.Poyer (P.Emili) at 50. J.Poyer to 50 for no gain (L.Jackson).,4,1,10,BAL,BUF,BAL,48,15:00,20,20,N,58,0.530649602413177,0.469350397586823,2.32236502110027,SHOTGUN,3x1,18.0,IN,2.0,62.91,26.92,True,TRADITIONAL,1.02999997138977,INSIDE_BOX,2.169,2.16899991035461,,True,False,False,0,,,,0,0,-0.162168882787228,0.162168882787228,-5.37395491555799,True,UNDEFINED,,0,Cover-3,Zone,1
1066,2022103004,1324,"(4:29) (Shotgun) D.Henry right guard for 29 yards, TOUCHDOWN.",2,3,2,TEN,HOU,HOU,29,04:29,3,0,N,39,0.566369362175465,0.433630637824535,3.26576886931434,SHOTGUN,2x2,8.0,,,,,False,,,,,,,,,,0,False,OUTSIDE_RIGHT,,29,29,-0.157749608159065,0.157749608159065,3.73423113068566,False,INSIDE ZONE,READ OPTION,0,Cover-3,Zone,1
1083,2022091103,2291,(6:58) (Shotgun) J.Burrow pass short middle to J.Chase to PIT 4 for 24 yards (L.Wallace).,3,2,14,CIN,PIT,PIT,28,06:58,6,17,N,38,0.368329811841249,0.631670188158751,3.47527563199401,SHOTGUN,2x2,4.0,C,15.0,22.45,21.0,False,TRADITIONAL,1.91999995708466,INSIDE_BOX,3.37,3.36999988555908,,False,False,False,0,,,,24,24,0.117395326495171,-0.117395326495171,2.63911187421763,True,,,0,Cover-3,Zone,1
1100,2022091107,1642,"(3:51) (Shotgun) L.Jackson pass deep right to D.Duvernay for 25 yards, TOUCHDOWN.",2,3,5,BAL,NYJ,NYJ,25,03:51,0,3,N,35,0.268604135140777,0.731395864859223,3.10394364775857,SHOTGUN,3x1,13.0,C,25.0,8.34,50.36,False,TRADITIONAL,2.76999998092651,INSIDE_BOX,2.545,2.54500007629395,,False,False,False,0,,,,25,25,-0.112975560128689,0.112975560128689,3.89605635224143,True,,,0,Cover-1,Man,1
1112,2022101609,2322,(9:19) (Shotgun) K.Murray pass incomplete deep right to A.Green.,3,4,2,ARI,SEA,SEA,27,09:19,9,3,N,37,0.636944241821766,0.363055758178234,2.32606617908459,SHOTGUN,2x2,12.0,I,27.0,6.09,39.49,False,SCRAMBLE,2.44000005722046,OUTSIDE_RIGHT,3.971,3.70000004768372,,False,False,False,0,,,,0,0,0.106290511786938,-0.106290511786938,-3.74855916097295,True,,,0,Cover-1,Man,1
1219,2022100210,2385,(11:07) (Shotgun) K.Pickett pass deep left intended for C.Claypool INTERCEPTED by J.Whitehead (L.Joyner) at NYJ 11. J.Whitehead to NYJ 11 for no gain (C.Claypool).,3,1,10,PIT,NYJ,NYJ,49,11:07,6,10,N,59,0.492429986596107,0.507570013403893,3.05022649583407,SHOTGUN,3x1,7.0,IN,38.0,21.54,16.75,True,DESIGNED_ROLLOUT_RIGHT,5.25,OUTSIDE_RIGHT,3.937,2.5,,False,False,False,0,,,,0,0,-0.106015525758266,0.106015525758266,-3.3616096668411,True,OUTSIDE ZONE,,0,Quarters,Zone,1
1224,2022092511,3615,(2:00) (Shotgun) G.Smith sacked at ATL 38 for -10 yards (G.Jarrett).,4,3,8,SEA,ATL,ATL,28,02:00,23,27,N,82,0.363610938191414,0.636389061808586,2.92289134237217,SHOTGUN,3x1,9.0,S,,,,False,TRADITIONAL,3.0,INSIDE_BOX,,,3.737,False,False,False,0,,,,-10,-10,-0.189476253464818,0.189476253464818,-2.36154727212852,True,,,0,Cover-3,Zone,1
